admin_area_1,admin_area_2,count,facility_id,indicator_common_id,indicator_id,indicator_label,month,period_id,year
Bangladesh,Rajshahi Division,542,A0BD1XftEub,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Rajshahi Division,603,A0BD1XftEub,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Rajshahi Division,623,A0BD1XftEub,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Rajshahi Division,60,A0BD1XftEub,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Rajshahi Division,43,A0BD1XftEub,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Rajshahi Division,58,A0BD1XftEub,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Rajshahi Division,147,A0BD1XftEub,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Rajshahi Division,143,A0BD1XftEub,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Rajshahi Division,207,A0BD1XftEub,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Rajshahi Division,396,A0BD1XftEub,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Rajshahi Division,373,A0BD1XftEub,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Rajshahi Division,579,A0BD1XftEub,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Rajshahi Division,49054,A0BD1XftEub,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Rajshahi Division,41776,A0BD1XftEub,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Rajshahi Division,54652,A0BD1XftEub,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Chattogram Division,1291,A0qQKAt9OHW,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Chattogram Division,1085,A0qQKAt9OHW,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Chattogram Division,721,A0qQKAt9OHW,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Chattogram Division,215,A0qQKAt9OHW,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Chattogram Division,150,A0qQKAt9OHW,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Chattogram Division,180,A0qQKAt9OHW,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Chattogram Division,97,A0qQKAt9OHW,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Chattogram Division,110,A0qQKAt9OHW,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Chattogram Division,90,A0qQKAt9OHW,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Chattogram Division,50,A0qQKAt9OHW,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Chattogram Division,48,A0qQKAt9OHW,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Chattogram Division,52,A0qQKAt9OHW,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Chattogram Division,61,A0qQKAt9OHW,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Chattogram Division,57,A0qQKAt9OHW,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Chattogram Division,65,A0qQKAt9OHW,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Chattogram Division,11757,A0qQKAt9OHW,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Chattogram Division,9510,A0qQKAt9OHW,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Chattogram Division,15263,A0qQKAt9OHW,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Chattogram Division,1291,A0qQKAt9OHW,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Chattogram Division,1085,A0qQKAt9OHW,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Chattogram Division,344,A0qQKAt9OHW,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Chattogram Division,714,A3qJGlJU4KO,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Chattogram Division,570,A3qJGlJU4KO,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Chattogram Division,607,A3qJGlJU4KO,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Chattogram Division,150,A3qJGlJU4KO,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Chattogram Division,111,A3qJGlJU4KO,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Chattogram Division,122,A3qJGlJU4KO,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Chattogram Division,17,A3qJGlJU4KO,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Chattogram Division,25,A3qJGlJU4KO,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Chattogram Division,22,A3qJGlJU4KO,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Chattogram Division,16,A3qJGlJU4KO,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Chattogram Division,13,A3qJGlJU4KO,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
