admin_area_1,admin_area_2,year,indicator_id,indicator_common_id,indicator_type,survey_value,source,source_detail,survey_type
Afghanistan,NATIONAL,2010,DM_POP_TOT,poptot,population_estimate,28284089,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2011,DM_POP_TOT,poptot,population_estimate,29347708,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2012,DM_POP_TOT,poptot,population_estimate,30560034,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2013,DM_POP_TOT,poptot,population_estimate,31622704,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2014,DM_POP_TOT,poptot,population_estimate,32792523,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2015,DM_POP_TOT,poptot,population_estimate,33831764,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2016,DM_POP_TOT,poptot,population_estimate,34700612,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2017,DM_POP_TOT,poptot,population_estimate,35688935,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2018,DM_POP_TOT,poptot,population_estimate,36743039,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2019,DM_POP_TOT,poptot,population_estimate,37856121,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2020,DM_POP_TOT,poptot,population_estimate,39068979,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2021,DM_POP_TOT,poptot,population_estimate,40000412,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2022,DM_POP_TOT,poptot,population_estimate,40578842,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2023,DM_POP_TOT,poptot,population_estimate,41454761,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2010,DM_POP_U5,popu5,population_estimate,5156043,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2011,DM_POP_U5,popu5,population_estimate,5290768,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2012,DM_POP_U5,popu5,population_estimate,5461328,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2013,DM_POP_U5,popu5,population_estimate,5605693,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2014,DM_POP_U5,popu5,population_estimate,5765097,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2015,DM_POP_U5,popu5,population_estimate,5896313,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2016,DM_POP_U5,popu5,population_estimate,5989420,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2017,DM_POP_U5,popu5,population_estimate,6099779,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2018,DM_POP_U5,popu5,population_estimate,6218637,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2019,DM_POP_U5,popu5,population_estimate,6341466,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2020,DM_POP_U5,popu5,population_estimate,6478381,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2021,DM_POP_U5,popu5,population_estimate,6565973,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2022,DM_POP_U5,popu5,population_estimate,6587947,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Afghanistan,NATIONAL,2023,DM_POP_U5,popu5,population_estimate,6656181,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Bangladesh,NATIONAL,2010,DM_POP_TOT,poptot,population_estimate,152201981,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Bangladesh,NATIONAL,2011,DM_POP_TOT,poptot,population_estimate,153591076,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Bangladesh,NATIONAL,2012,DM_POP_TOT,poptot,population_estimate,155070101,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Bangladesh,NATIONAL,2013,DM_POP_TOT,poptot,population_estimate,156532141,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
Bangladesh,NATIONAL,2014,DM_POP_TOT,poptot,population_estimate,157964929,MICS,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",household
